"Status","Date and Time","Response Time (ms)","Error","Location"
"up","03/28/2022 11:57:33 PM","467 ms","OK","Dusseldorf 2 (Germany)"
"up","03/28/2022 11:56:33 PM","501 ms","OK","Warsaw (Poland)"
"up","03/28/2022 11:55:33 PM","146 ms","OK","Chicago 2 (IL)"
"up","03/28/2022 11:54:33 PM","385 ms","OK","San Francisco 2 (CA)"
"up","03/28/2022 11:53:33 PM","612 ms","OK","Thessaloniki (Greece)"
"up","03/28/2022 11:52:33 PM","584 ms","OK","Stockholm 2 (Sweden)"
"up","03/28/2022 11:51:33 PM","401 ms","OK","Los Angeles 3 (CA)"
"up","03/28/2022 11:50:33 PM","241 ms","OK","Philadelphia 2 (PA)"
"up","03/28/2022 11:49:33 PM","392 ms","OK","Portland 2 (OR)"
"up","03/28/2022 11:48:33 PM","458 ms","OK","Frankfurt 3 (Germany)"
"up","03/28/2022 11:47:33 PM","635 ms","OK","Dusseldorf 2 (Germany)"
"up","03/28/2022 11:46:33 PM","523 ms","OK","Warsaw (Poland)"
"up","03/28/2022 11:45:33 PM","191 ms","OK","Chicago 2 (IL)"
"up","03/28/2022 11:44:33 PM","435 ms","OK","San Francisco 2 (CA)"
"up","03/28/2022 11:43:33 PM","693 ms","OK","Thessaloniki (Greece)"
"up","03/28/2022 11:42:33 PM","593 ms","OK","Stockholm 2 (Sweden)"
"up","03/28/2022 11:41:33 PM","324 ms","OK","Los Angeles 3 (CA)"
"up","03/28/2022 11:40:33 PM","156 ms","OK","Philadelphia 2 (PA)"
"up","03/28/2022 11:39:33 PM","506 ms","OK","Portland 2 (OR)"
"up","03/28/2022 11:38:33 PM","502 ms","OK","Frankfurt 3 (Germany)"
"up","03/28/2022 11:37:33 PM","615 ms","OK","Dusseldorf 2 (Germany)"
"up","03/28/2022 11:36:33 PM","540 ms","OK","Warsaw (Poland)"
"up","03/28/2022 11:35:33 PM","210 ms","OK","Chicago 2 (IL)"
"up","03/28/2022 11:34:33 PM","452 ms","OK","San Francisco 2 (CA)"
"up","03/28/2022 11:33:33 PM","650 ms","OK","Thessaloniki (Greece)"
"up","03/28/2022 11:32:33 PM","643 ms","OK","Stockholm 2 (Sweden)"
"up","03/28/2022 11:31:33 PM","332 ms","OK","Los Angeles 3 (CA)"
"up","03/28/2022 11:30:33 PM","148 ms","OK","Philadelphia 2 (PA)"
"up","03/28/2022 11:29:33 PM","431 ms","OK","Portland 2 (OR)"
"up","03/28/2022 11:28:33 PM","542 ms","OK","Frankfurt 3 (Germany)"
"up","03/28/2022 11:27:33 PM","597 ms","OK","Dusseldorf 2 (Germany)"
"up","03/28/2022 11:26:33 PM","531 ms","OK","Warsaw (Poland)"
"up","03/28/2022 11:25:33 PM","231 ms","OK","Chicago 2 (IL)"
"up","03/28/2022 11:24:33 PM","526 ms","OK","San Francisco 2 (CA)"
"up","03/28/2022 11:23:33 PM","687 ms","OK","Thessaloniki (Greece)"
"up","03/28/2022 11:22:33 PM","616 ms","OK","Stockholm 2 (Sweden)"
"up","03/28/2022 11:21:33 PM","376 ms","OK","Los Angeles 3 (CA)"
"up","03/28/2022 11:20:33 PM","167 ms","OK","Philadelphia 2 (PA)"
"up","03/28/2022 11:19:33 PM","482 ms","OK","Portland 2 (OR)"
"up","03/28/2022 11:18:33 PM","462 ms","OK","Frankfurt 3 (Germany)"
"up","03/28/2022 11:17:33 PM","601 ms","OK","Dusseldorf 2 (Germany)"
"up","03/28/2022 11:16:33 PM","503 ms","OK","Warsaw (Poland)"
"up","03/28/2022 11:15:33 PM","225 ms","OK","Chicago 2 (IL)"
"up","03/28/2022 11:14:33 PM","460 ms","OK","San Francisco 2 (CA)"
"up","03/28/2022 11:13:33 PM","782 ms","OK","Thessaloniki (Greece)"
"up","03/28/2022 11:12:33 PM","587 ms","OK","Stockholm 2 (Sweden)"
"up","03/28/2022 11:11:33 PM","379 ms","OK","Los Angeles 3 (CA)"
"up","03/28/2022 11:10:33 PM","251 ms","OK","Philadelphia 2 (PA)"
"up","03/28/2022 11:09:33 PM","460 ms","OK","Portland 2 (OR)"
"up","03/28/2022 11:08:33 PM","615 ms","OK","Frankfurt 3 (Germany)"
"up","03/28/2022 11:07:33 PM","631 ms","OK","Dusseldorf 2 (Germany)"
"up","03/28/2022 11:06:33 PM","553 ms","OK","Warsaw (Poland)"
"up","03/28/2022 11:05:33 PM","246 ms","OK","Chicago 2 (IL)"
"up","03/28/2022 11:04:33 PM","481 ms","OK","San Francisco 2 (CA)"
"up","03/28/2022 11:03:33 PM","626 ms","OK","Thessaloniki (Greece)"
"up","03/28/2022 11:02:33 PM","651 ms","OK","Stockholm 2 (Sweden)"
"up","03/28/2022 11:01:33 PM","372 ms","OK","Los Angeles 3 (CA)"
"up","03/28/2022 11:00:33 PM","257 ms","OK","Philadelphia 2 (PA)"
"up","03/28/2022 10:59:33 PM","417 ms","OK","Portland 2 (OR)"
"up","03/28/2022 10:58:33 PM","496 ms","OK","Frankfurt 3 (Germany)"
"up","03/28/2022 10:57:33 PM","670 ms","OK","Dusseldorf 2 (Germany)"
"up","03/28/2022 10:56:33 PM","639 ms","OK","Warsaw (Poland)"
"up","03/28/2022 10:55:33 PM","252 ms","OK","Chicago 2 (IL)"
"up","03/28/2022 10:54:33 PM","455 ms","OK","San Francisco 2 (CA)"
"up","03/28/2022 10:53:33 PM","619 ms","OK","Thessaloniki (Greece)"
"up","03/28/2022 10:52:33 PM","724 ms","OK","Stockholm 2 (Sweden)"
"up","03/28/2022 10:51:33 PM","363 ms","OK","Los Angeles 3 (CA)"
"up","03/28/2022 10:50:33 PM","210 ms","OK","Philadelphia 2 (PA)"
"up","03/28/2022 10:49:33 PM","477 ms","OK","Portland 2 (OR)"
"up","03/28/2022 10:48:33 PM","491 ms","OK","Frankfurt 3 (Germany)"
"up","03/28/2022 10:47:33 PM","587 ms","OK","Dusseldorf 2 (Germany)"
"up","03/28/2022 10:46:33 PM","549 ms","OK","Warsaw (Poland)"
"up","03/28/2022 10:45:33 PM","181 ms","OK","Chicago 2 (IL)"
"up","03/28/2022 10:44:33 PM","476 ms","OK","San Francisco 2 (CA)"
"up","03/28/2022 10:43:33 PM","754 ms","OK","Thessaloniki (Greece)"
"up","03/28/2022 10:42:33 PM","603 ms","OK","Stockholm 2 (Sweden)"
"up","03/28/2022 10:41:33 PM","349 ms","OK","Los Angeles 3 (CA)"
"up","03/28/2022 10:40:33 PM","250 ms","OK","Philadelphia 2 (PA)"
"up","03/28/2022 10:39:33 PM","357 ms","OK","Portland 2 (OR)"
"up","03/28/2022 10:38:33 PM","489 ms","OK","Frankfurt 3 (Germany)"
"up","03/28/2022 10:37:33 PM","635 ms","OK","Dusseldorf 2 (Germany)"
"up","03/28/2022 10:36:33 PM","524 ms","OK","Warsaw (Poland)"
"up","03/28/2022 10:35:33 PM","226 ms","OK","Chicago 2 (IL)"
"up","03/28/2022 10:34:33 PM","477 ms","OK","San Francisco 2 (CA)"
"up","03/28/2022 10:33:33 PM","724 ms","OK","Thessaloniki (Greece)"
"up","03/28/2022 10:32:33 PM","557 ms","OK","Stockholm 2 (Sweden)"
"up","03/28/2022 10:31:33 PM","368 ms","OK","Los Angeles 3 (CA)"
"up","03/28/2022 10:30:33 PM","203 ms","OK","Philadelphia 2 (PA)"
"up","03/28/2022 10:29:33 PM","408 ms","OK","Portland 2 (OR)"
"up","03/28/2022 10:28:33 PM","468 ms","OK","Frankfurt 3 (Germany)"
"up","03/28/2022 10:27:33 PM","441 ms","OK","Dusseldorf 2 (Germany)"
"up","03/28/2022 10:26:33 PM","588 ms","OK","Warsaw (Poland)"
"up","03/28/2022 10:25:33 PM","163 ms","OK","Chicago 2 (IL)"
"up","03/28/2022 10:24:33 PM","584 ms","OK","San Francisco 2 (CA)"
"up","03/28/2022 10:23:33 PM","667 ms","OK","Thessaloniki (Greece)"
"up","03/28/2022 10:22:33 PM","697 ms","OK","Stockholm 2 (Sweden)"
"up","03/28/2022 10:21:33 PM","449 ms","OK","Los Angeles 3 (CA)"
"up","03/28/2022 10:20:33 PM","245 ms","OK","Philadelphia 2 (PA)"
"up","03/28/2022 10:19:33 PM","491 ms","OK","Portland 2 (OR)"
"up","03/28/2022 10:18:33 PM","411 ms","OK","Frankfurt 3 (Germany)"
"up","03/28/2022 10:17:33 PM","562 ms","OK","Dusseldorf 2 (Germany)"
"up","03/28/2022 10:16:33 PM","576 ms","OK","Warsaw (Poland)"
"up","03/28/2022 10:15:33 PM","252 ms","OK","Chicago 2 (IL)"
"up","03/28/2022 10:14:33 PM","585 ms","OK","San Francisco 2 (CA)"
"up","03/28/2022 10:13:33 PM","694 ms","OK","Thessaloniki (Greece)"
"up","03/28/2022 10:12:33 PM","638 ms","OK","Stockholm 2 (Sweden)"
"up","03/28/2022 10:11:33 PM","373 ms","OK","Los Angeles 3 (CA)"
"up","03/28/2022 10:10:33 PM","159 ms","OK","Philadelphia 2 (PA)"
"up","03/28/2022 10:09:33 PM","374 ms","OK","Portland 2 (OR)"
"up","03/28/2022 10:08:33 PM","442 ms","OK","Frankfurt 3 (Germany)"
"up","03/28/2022 10:07:33 PM","598 ms","OK","Dusseldorf 2 (Germany)"
"up","03/28/2022 10:06:33 PM","504 ms","OK","Warsaw (Poland)"
"up","03/28/2022 10:05:33 PM","158 ms","OK","Chicago 2 (IL)"
"up","03/28/2022 10:04:33 PM","369 ms","OK","San Francisco 2 (CA)"
"up","03/28/2022 10:03:33 PM","625 ms","OK","Thessaloniki (Greece)"
"up","03/28/2022 10:02:33 PM","539 ms","OK","Stockholm 2 (Sweden)"
"up","03/28/2022 10:01:33 PM","426 ms","OK","Los Angeles 3 (CA)"
"up","03/28/2022 10:00:33 PM","249 ms","OK","Philadelphia 2 (PA)"
"up","03/28/2022 09:59:33 PM","350 ms","OK","Portland 2 (OR)"
"up","03/28/2022 09:58:33 PM","396 ms","OK","Frankfurt 3 (Germany)"
"up","03/28/2022 09:57:33 PM","672 ms","OK","Dusseldorf 2 (Germany)"
"up","03/28/2022 09:56:33 PM","720 ms","OK","Warsaw (Poland)"
"up","03/28/2022 09:55:33 PM","194 ms","OK","Chicago 2 (IL)"
"up","03/28/2022 09:54:33 PM","479 ms","OK","San Francisco 2 (CA)"
"up","03/28/2022 09:53:33 PM","599 ms","OK","Thessaloniki (Greece)"
"up","03/28/2022 09:52:33 PM","513 ms","OK","Stockholm 2 (Sweden)"
"up","03/28/2022 09:51:33 PM","370 ms","OK","Los Angeles 3 (CA)"
"up","03/28/2022 09:50:33 PM","285 ms","OK","Philadelphia 2 (PA)"
"up","03/28/2022 09:49:33 PM","497 ms","OK","Portland 2 (OR)"
"up","03/28/2022 09:48:33 PM","517 ms","OK","Frankfurt 3 (Germany)"
"up","03/28/2022 09:47:33 PM","636 ms","OK","Dusseldorf 2 (Germany)"
"up","03/28/2022 09:46:33 PM","565 ms","OK","Warsaw (Poland)"
"up","03/28/2022 09:45:33 PM","223 ms","OK","Chicago 2 (IL)"
"up","03/28/2022 09:44:33 PM","565 ms","OK","San Francisco 2 (CA)"
"up","03/28/2022 09:43:33 PM","634 ms","OK","Thessaloniki (Greece)"
"up","03/28/2022 09:42:33 PM","576 ms","OK","Stockholm 2 (Sweden)"
"up","03/28/2022 09:41:33 PM","340 ms","OK","Los Angeles 3 (CA)"
"up","03/28/2022 09:40:33 PM","163 ms","OK","Philadelphia 2 (PA)"
"up","03/28/2022 09:39:33 PM","386 ms","OK","Portland 2 (OR)"
"up","03/28/2022 09:38:33 PM","511 ms","OK","Frankfurt 3 (Germany)"
"up","03/28/2022 09:37:33 PM","395 ms","OK","Dusseldorf 2 (Germany)"
"up","03/28/2022 09:36:33 PM","564 ms","OK","Warsaw (Poland)"
"up","03/28/2022 09:35:33 PM","232 ms","OK","Chicago 2 (IL)"
"up","03/28/2022 09:34:33 PM","535 ms","OK","San Francisco 2 (CA)"
"up","03/28/2022 09:33:33 PM","727 ms","OK","Thessaloniki (Greece)"
"up","03/28/2022 09:32:33 PM","618 ms","OK","Stockholm 2 (Sweden)"
"up","03/28/2022 09:31:33 PM","360 ms","OK","Los Angeles 3 (CA)"
"up","03/28/2022 09:30:33 PM","176 ms","OK","Philadelphia 2 (PA)"
"up","03/28/2022 09:29:33 PM","473 ms","OK","Portland 2 (OR)"
"up","03/28/2022 09:28:33 PM","408 ms","OK","Frankfurt 3 (Germany)"
"up","03/28/2022 09:27:33 PM","559 ms","OK","Dusseldorf 2 (Germany)"
"up","03/28/2022 09:26:33 PM","510 ms","OK","Warsaw (Poland)"
"up","03/28/2022 09:25:33 PM","252 ms","OK","Chicago 2 (IL)"
"up","03/28/2022 09:24:33 PM","442 ms","OK","San Francisco 2 (CA)"
"up","03/28/2022 09:23:33 PM","586 ms","OK","Thessaloniki (Greece)"
"up","03/28/2022 09:22:33 PM","724 ms","OK","Stockholm 2 (Sweden)"
"up","03/28/2022 09:21:33 PM","392 ms","OK","Los Angeles 3 (CA)"
"up","03/28/2022 09:20:33 PM","85 ms","OK","Philadelphia 2 (PA)"
"up","03/28/2022 09:19:33 PM","518 ms","OK","Portland 2 (OR)"
"up","03/28/2022 09:18:33 PM","477 ms","OK","Frankfurt 3 (Germany)"
"up","03/28/2022 09:17:33 PM","540 ms","OK","Dusseldorf 2 (Germany)"
"up","03/28/2022 09:16:33 PM","529 ms","OK","Warsaw (Poland)"
"up","03/28/2022 09:15:33 PM","232 ms","OK","Chicago 2 (IL)"
"up","03/28/2022 09:14:33 PM","488 ms","OK","San Francisco 2 (CA)"
"up","03/28/2022 09:13:33 PM","705 ms","OK","Thessaloniki (Greece)"
"up","03/28/2022 09:12:33 PM","625 ms","OK","Stockholm 2 (Sweden)"
"up","03/28/2022 09:11:33 PM","371 ms","OK","Los Angeles 3 (CA)"
"up","03/28/2022 09:10:33 PM","274 ms","OK","Philadelphia 2 (PA)"
"up","03/28/2022 09:09:33 PM","388 ms","OK","Portland 2 (OR)"
"up","03/28/2022 09:08:33 PM","501 ms","OK","Frankfurt 3 (Germany)"
"up","03/28/2022 09:07:33 PM","416 ms","OK","Dusseldorf 2 (Germany)"
"up","03/28/2022 09:06:33 PM","616 ms","OK","Warsaw (Poland)"
"up","03/28/2022 09:05:33 PM","236 ms","OK","Chicago 2 (IL)"
"up","03/28/2022 09:04:33 PM","513 ms","OK","San Francisco 2 (CA)"
"up","03/28/2022 09:03:33 PM","650 ms","OK","Thessaloniki (Greece)"
"up","03/28/2022 09:02:33 PM","630 ms","OK","Stockholm 2 (Sweden)"
"up","03/28/2022 09:01:33 PM","390 ms","OK","Los Angeles 3 (CA)"
"up","03/28/2022 09:00:33 PM","194 ms","OK","Philadelphia 2 (PA)"
"up","03/28/2022 08:59:33 PM","497 ms","OK","Portland 2 (OR)"
"up","03/28/2022 08:58:33 PM","550 ms","OK","Frankfurt 3 (Germany)"
"up","03/28/2022 08:57:33 PM","652 ms","OK","Dusseldorf 2 (Germany)"
"up","03/28/2022 08:56:33 PM","549 ms","OK","Warsaw (Poland)"
"up","03/28/2022 08:55:33 PM","172 ms","OK","Chicago 2 (IL)"
"up","03/28/2022 08:54:33 PM","464 ms","OK","San Francisco 2 (CA)"
"up","03/28/2022 08:53:33 PM","664 ms","OK","Thessaloniki (Greece)"
"up","03/28/2022 08:52:33 PM","678 ms","OK","Stockholm 2 (Sweden)"
"up","03/28/2022 08:51:33 PM","419 ms","OK","Los Angeles 3 (CA)"
"up","03/28/2022 08:50:33 PM","259 ms","OK","Philadelphia 2 (PA)"
"up","03/28/2022 08:49:33 PM","510 ms","OK","Portland 2 (OR)"
"up","03/28/2022 08:48:33 PM","527 ms","OK","Frankfurt 3 (Germany)"
"up","03/28/2022 08:47:33 PM","627 ms","OK","Dusseldorf 2 (Germany)"
"up","03/28/2022 08:46:33 PM","541 ms","OK","Warsaw (Poland)"
"up","03/28/2022 08:45:33 PM","368 ms","OK","Chicago 2 (IL)"
"up","03/28/2022 08:44:33 PM","501 ms","OK","San Francisco 2 (CA)"
"up","03/28/2022 08:43:33 PM","694 ms","OK","Thessaloniki (Greece)"
"up","03/28/2022 08:42:33 PM","636 ms","OK","Stockholm 2 (Sweden)"
"up","03/28/2022 08:41:33 PM","357 ms","OK","Los Angeles 3 (CA)"
"up","03/28/2022 08:40:33 PM","215 ms","OK","Philadelphia 2 (PA)"
"up","03/28/2022 08:39:33 PM","412 ms","OK","Portland 2 (OR)"
"up","03/28/2022 08:38:33 PM","478 ms","OK","Frankfurt 3 (Germany)"
"up","03/28/2022 08:37:33 PM","657 ms","OK","Dusseldorf 2 (Germany)"
"up","03/28/2022 08:36:33 PM","527 ms","OK","Warsaw (Poland)"
"up","03/28/2022 08:35:33 PM","285 ms","OK","Chicago 2 (IL)"
"up","03/28/2022 08:34:33 PM","518 ms","OK","San Francisco 2 (CA)"
"up","03/28/2022 08:33:33 PM","615 ms","OK","Thessaloniki (Greece)"
"up","03/28/2022 08:32:33 PM","582 ms","OK","Stockholm 2 (Sweden)"
"up","03/28/2022 08:31:33 PM","379 ms","OK","Los Angeles 3 (CA)"
"up","03/28/2022 08:30:33 PM","96 ms","OK","Philadelphia 2 (PA)"
"up","03/28/2022 08:29:33 PM","439 ms","OK","Portland 2 (OR)"
"up","03/28/2022 08:28:33 PM","516 ms","OK","Frankfurt 3 (Germany)"
"up","03/28/2022 08:27:33 PM","557 ms","OK","Dusseldorf 2 (Germany)"
"up","03/28/2022 08:26:33 PM","533 ms","OK","Warsaw (Poland)"
"up","03/28/2022 08:25:33 PM","243 ms","OK","Chicago 2 (IL)"
"up","03/28/2022 08:24:33 PM","493 ms","OK","San Francisco 2 (CA)"
"up","03/28/2022 08:23:33 PM","781 ms","OK","Thessaloniki (Greece)"
"up","03/28/2022 08:22:33 PM","612 ms","OK","Stockholm 2 (Sweden)"
"up","03/28/2022 08:21:33 PM","357 ms","OK","Los Angeles 3 (CA)"
"up","03/28/2022 08:20:33 PM","185 ms","OK","Philadelphia 2 (PA)"
"up","03/28/2022 08:19:33 PM","493 ms","OK","Portland 2 (OR)"
"up","03/28/2022 08:18:33 PM","547 ms","OK","Frankfurt 3 (Germany)"
"up","03/28/2022 08:17:33 PM","613 ms","OK","Dusseldorf 2 (Germany)"
"up","03/28/2022 08:16:33 PM","587 ms","OK","Warsaw (Poland)"
"up","03/28/2022 08:15:33 PM","213 ms","OK","Chicago 2 (IL)"
"up","03/28/2022 08:14:33 PM","430 ms","OK","San Francisco 2 (CA)"
"up","03/28/2022 08:13:33 PM","797 ms","OK","Thessaloniki (Greece)"
"up","03/28/2022 08:12:33 PM","602 ms","OK","Stockholm 2 (Sweden)"
"up","03/28/2022 08:11:33 PM","414 ms","OK","Los Angeles 3 (CA)"
"up","03/28/2022 08:10:33 PM","185 ms","OK","Philadelphia 2 (PA)"
"up","03/28/2022 08:09:33 PM","495 ms","OK","Portland 2 (OR)"
"up","03/28/2022 08:08:33 PM","781 ms","OK","Frankfurt 3 (Germany)"
"up","03/28/2022 08:07:33 PM","595 ms","OK","Dusseldorf 2 (Germany)"
"up","03/28/2022 08:06:33 PM","536 ms","OK","Warsaw (Poland)"
"up","03/28/2022 08:05:33 PM","220 ms","OK","Chicago 2 (IL)"
"up","03/28/2022 08:04:33 PM","409 ms","OK","San Francisco 2 (CA)"
"up","03/28/2022 08:03:33 PM","709 ms","OK","Thessaloniki (Greece)"
"up","03/28/2022 08:02:33 PM","629 ms","OK","Stockholm 2 (Sweden)"
"up","03/28/2022 08:01:33 PM","364 ms","OK","Los Angeles 3 (CA)"
"up","03/28/2022 08:00:33 PM","269 ms","OK","Philadelphia 2 (PA)"
"up","03/28/2022 07:59:33 PM","489 ms","OK","Portland 2 (OR)"
"up","03/28/2022 07:58:33 PM","524 ms","OK","Frankfurt 3 (Germany)"
"up","03/28/2022 07:57:33 PM","524 ms","OK","Dusseldorf 2 (Germany)"
"up","03/28/2022 07:56:33 PM","580 ms","OK","Warsaw (Poland)"
"up","03/28/2022 07:55:33 PM","182 ms","OK","Chicago 2 (IL)"
"up","03/28/2022 07:54:33 PM","525 ms","OK","San Francisco 2 (CA)"
"up","03/28/2022 07:53:33 PM","618 ms","OK","Thessaloniki (Greece)"
"up","03/28/2022 07:52:33 PM","519 ms","OK","Stockholm 2 (Sweden)"
"up","03/28/2022 07:51:33 PM","378 ms","OK","Los Angeles 3 (CA)"
"up","03/28/2022 07:50:33 PM","112 ms","OK","Philadelphia 2 (PA)"
"up","03/28/2022 07:49:33 PM","477 ms","OK","Portland 2 (OR)"
"up","03/28/2022 07:48:33 PM","460 ms","OK","Frankfurt 3 (Germany)"
"up","03/28/2022 07:47:33 PM","692 ms","OK","Dusseldorf 2 (Germany)"
"up","03/28/2022 07:46:33 PM","562 ms","OK","Warsaw (Poland)"
"up","03/28/2022 07:45:33 PM","211 ms","OK","Chicago 2 (IL)"
"up","03/28/2022 07:44:33 PM","496 ms","OK","San Francisco 2 (CA)"
"up","03/28/2022 07:43:33 PM","653 ms","OK","Thessaloniki (Greece)"
"up","03/28/2022 07:42:33 PM","659 ms","OK","Stockholm 2 (Sweden)"
"up","03/28/2022 07:41:33 PM","380 ms","OK","Los Angeles 3 (CA)"
"up","03/28/2022 07:40:33 PM","292 ms","OK","Philadelphia 2 (PA)"
"up","03/28/2022 07:39:33 PM","443 ms","OK","Portland 2 (OR)"
"up","03/28/2022 07:38:33 PM","410 ms","OK","Frankfurt 3 (Germany)"
"up","03/28/2022 07:37:33 PM","640 ms","OK","Dusseldorf 2 (Germany)"
"up","03/28/2022 07:36:33 PM","522 ms","OK","Warsaw (Poland)"
"up","03/28/2022 07:35:33 PM","222 ms","OK","Chicago 2 (IL)"
"up","03/28/2022 07:34:33 PM","460 ms","OK","San Francisco 2 (CA)"
"up","03/28/2022 07:33:33 PM","679 ms","OK","Thessaloniki (Greece)"
"up","03/28/2022 07:32:33 PM","546 ms","OK","Stockholm 2 (Sweden)"
"up","03/28/2022 07:31:33 PM","321 ms","OK","Los Angeles 3 (CA)"
"up","03/28/2022 07:30:33 PM","196 ms","OK","Philadelphia 2 (PA)"
"up","03/28/2022 07:29:33 PM","509 ms","OK","Portland 2 (OR)"
"up","03/28/2022 07:28:33 PM","518 ms","OK","Frankfurt 3 (Germany)"
"up","03/28/2022 07:27:33 PM","641 ms","OK","Dusseldorf 2 (Germany)"
"up","03/28/2022 07:26:33 PM","513 ms","OK","Warsaw (Poland)"
"up","03/28/2022 07:25:33 PM","215 ms","OK","Chicago 2 (IL)"
"up","03/28/2022 07:24:33 PM","534 ms","OK","San Francisco 2 (CA)"
"up","03/28/2022 07:23:33 PM","624 ms","OK","Thessaloniki (Greece)"
"up","03/28/2022 07:22:33 PM","611 ms","OK","Stockholm 2 (Sweden)"
"up","03/28/2022 07:21:33 PM","324 ms","OK","Los Angeles 3 (CA)"
"up","03/28/2022 07:20:33 PM","170 ms","OK","Philadelphia 2 (PA)"
"up","03/28/2022 07:19:33 PM","366 ms","OK","Portland 2 (OR)"
"up","03/28/2022 07:18:33 PM","551 ms","OK","Frankfurt 3 (Germany)"
"up","03/28/2022 07:17:33 PM","639 ms","OK","Dusseldorf 2 (Germany)"
"up","03/28/2022 07:16:33 PM","527 ms","OK","Warsaw (Poland)"
"up","03/28/2022 07:15:33 PM","277 ms","OK","Chicago 2 (IL)"
"up","03/28/2022 07:14:33 PM","508 ms","OK","San Francisco 2 (CA)"
"up","03/28/2022 07:13:33 PM","673 ms","OK","Thessaloniki (Greece)"
"up","03/28/2022 07:12:33 PM","527 ms","OK","Stockholm 2 (Sweden)"
"up","03/28/2022 07:11:33 PM","359 ms","OK","Los Angeles 3 (CA)"
"up","03/28/2022 07:10:33 PM","273 ms","OK","Philadelphia 2 (PA)"
"up","03/28/2022 07:09:33 PM","356 ms","OK","Portland 2 (OR)"
"up","03/28/2022 07:08:33 PM","510 ms","OK","Frankfurt 3 (Germany)"
"up","03/28/2022 07:07:33 PM","679 ms","OK","Dusseldorf 2 (Germany)"
"up","03/28/2022 07:06:33 PM","591 ms","OK","Warsaw (Poland)"
"up","03/28/2022 07:05:33 PM","210 ms","OK","Chicago 2 (IL)"
"up","03/28/2022 07:04:33 PM","548 ms","OK","San Francisco 2 (CA)"
"up","03/28/2022 07:03:33 PM","652 ms","OK","Thessaloniki (Greece)"
"up","03/28/2022 07:02:33 PM","547 ms","OK","Stockholm 2 (Sweden)"
"up","03/28/2022 07:01:33 PM","348 ms","OK","Los Angeles 3 (CA)"
"up","03/28/2022 07:00:33 PM","443 ms","OK","Philadelphia 2 (PA)"
"up","03/28/2022 06:59:33 PM","576 ms","OK","Portland 2 (OR)"
"up","03/28/2022 06:58:33 PM","601 ms","OK","Frankfurt 3 (Germany)"
"up","03/28/2022 06:57:33 PM","408 ms","OK","Dusseldorf 2 (Germany)"
"up","03/28/2022 06:56:33 PM","598 ms","OK","Warsaw (Poland)"
"up","03/28/2022 06:55:33 PM","236 ms","OK","Chicago 2 (IL)"
"up","03/28/2022 06:54:33 PM","373 ms","OK","San Francisco 2 (CA)"
"up","03/28/2022 06:53:33 PM","649 ms","OK","Thessaloniki (Greece)"
"up","03/28/2022 06:52:33 PM","617 ms","OK","Stockholm 2 (Sweden)"
"up","03/28/2022 06:51:33 PM","393 ms","OK","Los Angeles 3 (CA)"
"up","03/28/2022 06:50:33 PM","185 ms","OK","Philadelphia 2 (PA)"
"up","03/28/2022 06:49:33 PM","541 ms","OK","Portland 2 (OR)"
"up","03/28/2022 06:48:33 PM","475 ms","OK","Frankfurt 3 (Germany)"
"up","03/28/2022 06:47:33 PM","440 ms","OK","Dusseldorf 2 (Germany)"
"up","03/28/2022 06:46:33 PM","578 ms","OK","Warsaw (Poland)"
"up","03/28/2022 06:45:33 PM","228 ms","OK","Chicago 2 (IL)"
"up","03/28/2022 06:44:33 PM","537 ms","OK","San Francisco 2 (CA)"
"up","03/28/2022 06:43:33 PM","764 ms","OK","Thessaloniki (Greece)"
"up","03/28/2022 06:42:33 PM","656 ms","OK","Stockholm 2 (Sweden)"
"up","03/28/2022 06:41:33 PM","337 ms","OK","Los Angeles 3 (CA)"
"up","03/28/2022 06:40:33 PM","199 ms","OK","Philadelphia 2 (PA)"
"up","03/28/2022 06:39:33 PM","480 ms","OK","Portland 2 (OR)"
"up","03/28/2022 06:38:33 PM","425 ms","OK","Frankfurt 3 (Germany)"
"up","03/28/2022 06:37:33 PM","546 ms","OK","Dusseldorf 2 (Germany)"
"up","03/28/2022 06:36:33 PM","568 ms","OK","Warsaw (Poland)"
"up","03/28/2022 06:35:33 PM","260 ms","OK","Chicago 2 (IL)"
"up","03/28/2022 06:34:33 PM","477 ms","OK","San Francisco 2 (CA)"
"up","03/28/2022 06:33:33 PM","637 ms","OK","Thessaloniki (Greece)"
"up","03/28/2022 06:32:33 PM","684 ms","OK","Stockholm 2 (Sweden)"
"up","03/28/2022 06:31:33 PM","341 ms","OK","Los Angeles 3 (CA)"
"up","03/28/2022 06:30:33 PM","179 ms","OK","Philadelphia 2 (PA)"
"up","03/28/2022 06:29:33 PM","531 ms","OK","Portland 2 (OR)"
"up","03/28/2022 06:28:33 PM","518 ms","OK","Frankfurt 3 (Germany)"
"up","03/28/2022 06:27:33 PM","612 ms","OK","Dusseldorf 2 (Germany)"
"up","03/28/2022 06:26:33 PM","510 ms","OK","Warsaw (Poland)"
"up","03/28/2022 06:25:33 PM","141 ms","OK","Chicago 2 (IL)"
"up","03/28/2022 06:24:33 PM","401 ms","OK","San Francisco 2 (CA)"
"up","03/28/2022 06:23:33 PM","681 ms","OK","Thessaloniki (Greece)"
"up","03/28/2022 06:22:33 PM","561 ms","OK","Stockholm 2 (Sweden)"
"up","03/28/2022 06:21:33 PM","389 ms","OK","Los Angeles 3 (CA)"
